IRF,NFkB,IFNb,p50,Stimulus,Genotype,Dataset
0.25,1.0,0.6,1,LPS,WT,original
0.25,1.0,0.6,0,LPS,p50KO,original
0.01,0.8,0.0,1,CpG,WT,original
0.01,0.8,0.3,0,CpG,p50KO,original
0.25,0.0,0.2,1,LPS,relacrelKO,original
0.01,1.0,0.0,1,LPS,irf3irf7KO,original
1.0,0.5,1.0,1,polyIC,WT,original
1.0,0.0,1.0,1,polyIC,relacrelKO,original
0.1,0.5,0.2,1,polyIC,irf3irf7KO,original
0.0,0.5,0.0,1,polyIC,irf3irf5irf7KO,original
0.25,1.0,0.6,1,LPS,WT,synthetic_0
0.25,1.0,0.6,0,LPS,p50KO,synthetic_0
0.01,0.798,0.0,1,CpG,WT,synthetic_0
0.01,0.801,0.3,0,CpG,p50KO,synthetic_0
0.248,0.0,0.2,1,LPS,relacrelKO,synthetic_0
0.01,1.0,0.0,1,LPS,irf3irf7KO,synthetic_0
1.0,0.499,1.0,1,polyIC,WT,synthetic_0
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_0
0.1,0.498,0.2,1,polyIC,irf3irf7KO,synthetic_0
0.0,0.5,0.0,1,polyIC,irf3irf5irf7KO,synthetic_0
0.25,1.0,0.6,1,LPS,WT,synthetic_1
0.25,0.997,0.6,0,LPS,p50KO,synthetic_1
0.01,0.797,0.0,1,CpG,WT,synthetic_1
0.01,0.798,0.3,0,CpG,p50KO,synthetic_1
0.25,0.0,0.2,1,LPS,relacrelKO,synthetic_1
0.01,1.0,0.0,1,LPS,irf3irf7KO,synthetic_1
1.0,0.498,1.0,1,polyIC,WT,synthetic_1
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_1
0.1,0.497,0.2,1,polyIC,irf3irf7KO,synthetic_1
0.0,0.499,0.0,1,polyIC,irf3irf5irf7KO,synthetic_1
0.251,1.0,0.6,1,LPS,WT,synthetic_2
0.25,0.991,0.6,0,LPS,p50KO,synthetic_2
0.01,0.801,0.0,1,CpG,WT,synthetic_2
0.01,0.799,0.3,0,CpG,p50KO,synthetic_2
0.249,0.0,0.2,1,LPS,relacrelKO,synthetic_2
0.01,1.0,0.0,1,LPS,irf3irf7KO,synthetic_2
0.988,0.502,1.0,1,polyIC,WT,synthetic_2
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_2
0.1,0.496,0.2,1,polyIC,irf3irf7KO,synthetic_2
0.0,0.499,0.0,1,polyIC,irf3irf5irf7KO,synthetic_2
0.25,1.0,0.6,1,LPS,WT,synthetic_3
0.249,0.996,0.6,0,LPS,p50KO,synthetic_3
0.01,0.805,0.0,1,CpG,WT,synthetic_3
0.01,0.797,0.3,0,CpG,p50KO,synthetic_3
0.25,0.0,0.2,1,LPS,relacrelKO,synthetic_3
0.01,1.0,0.0,1,LPS,irf3irf7KO,synthetic_3
0.997,0.501,1.0,1,polyIC,WT,synthetic_3
0.998,0.0,1.0,1,polyIC,relacrelKO,synthetic_3
0.1,0.499,0.2,1,polyIC,irf3irf7KO,synthetic_3
0.0,0.502,0.0,1,polyIC,irf3irf5irf7KO,synthetic_3
0.25,1.0,0.6,1,LPS,WT,synthetic_4
0.25,0.995,0.6,0,LPS,p50KO,synthetic_4
0.01,0.803,0.0,1,CpG,WT,synthetic_4
0.01,0.796,0.3,0,CpG,p50KO,synthetic_4
0.25,0.0,0.2,1,LPS,relacrelKO,synthetic_4
0.01,0.997,0.0,1,LPS,irf3irf7KO,synthetic_4
1.0,0.499,1.0,1,polyIC,WT,synthetic_4
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_4
0.1,0.499,0.2,1,polyIC,irf3irf7KO,synthetic_4
0.0,0.499,0.0,1,polyIC,irf3irf5irf7KO,synthetic_4
0.25,1.0,0.6,1,LPS,WT,synthetic_5
0.251,1.0,0.6,0,LPS,p50KO,synthetic_5
0.01,0.802,0.0,1,CpG,WT,synthetic_5
0.01,0.8,0.3,0,CpG,p50KO,synthetic_5
0.249,0.0,0.2,1,LPS,relacrelKO,synthetic_5
0.01,1.0,0.0,1,LPS,irf3irf7KO,synthetic_5
0.998,0.498,1.0,1,polyIC,WT,synthetic_5
0.999,0.0,1.0,1,polyIC,relacrelKO,synthetic_5
0.1,0.5,0.2,1,polyIC,irf3irf7KO,synthetic_5
0.0,0.502,0.0,1,polyIC,irf3irf5irf7KO,synthetic_5
0.251,0.998,0.6,1,LPS,WT,synthetic_6
